ticker,company_name,sector,market_cap_category,has_market_cap,has_annual_financials,deactivated_on
AEONXDIGI,Aeonx Digital Technology Limit,,,FALSE,FALSE,2026-04-30
AERON,,,,FALSE,FALSE,2026-04-30
AESTHETIK,,,,FALSE,FALSE,2026-04-30
AGARWAL,AGARWAL FORTUNE INDIA LIMITED,,,FALSE,FALSE,2026-04-30
AGARWALFT,,,,FALSE,FALSE,2026-04-30
AGARWALTUF,,,,FALSE,FALSE,2026-04-30
AGCNET,,,,FALSE,FALSE,2026-04-30
AGIOPAPER,AGIO PAPER & INDUSTRIES LTD.,,,FALSE,FALSE,2026-04-30
AGNI,,,,FALSE,FALSE,2026-04-30
AGOL,Ashapuri Gold Ornament Limited,,,FALSE,FALSE,2026-04-30
AGRIBIO,AGRIBIO SPIRITS LIMITED,,,FALSE,FALSE,2026-04-30
AGUL,,,,FALSE,FALSE,2026-04-30
AGVENTURES,AG VENTURES LIMITED,,,FALSE,FALSE,2026-04-30
AHL,,,,FALSE,FALSE,2026-04-30
AILIMITED,,,,FALSE,FALSE,2026-04-30
AIMCOPEST,AIMCO PESTICIDES LTD.,,,FALSE,FALSE,2026-04-30
AIML,ALLIANCE INTEGRATED METALIKS L,,,FALSE,FALSE,2026-04-30
AIMTRON,,,,FALSE,FALSE,2026-04-30
AISL,,,,FALSE,FALSE,2026-04-30
AJANTSOY,AJANTA SOYA LTD.,,,FALSE,FALSE,2026-04-30
AJCON,AJCON GLOBAL SERVICES LTD.,,,FALSE,FALSE,2026-04-30
AKANKSHA,,,,FALSE,FALSE,2026-04-30
AKCAPIT,AK Capital Services Limited,Financial Services,,FALSE,FALSE,2026-04-30
AKIKO,,,,FALSE,FALSE,2026-04-30
ALANSCOTT,ALAN SCOTT ENTERPRISES LIMITED,,,FALSE,FALSE,2026-04-30
ALCODIS,,,,FALSE,FALSE,2026-04-30
ALEXANDER,Alexander Stamps And Coin Limi,,,FALSE,FALSE,2026-04-30
ALFAICA,ALFA ICA (INDIA) LTD.,,,FALSE,FALSE,2026-04-30
ALFL,Abhinav Leasing & Finance Limi,,,FALSE,FALSE,2026-04-30
ALFREDHE,ALFRED HERBERT (INDIA) LTD.,,,FALSE,FALSE,2026-04-30
ALLETEC,,,,FALSE,FALSE,2026-04-30
ALLSEC,,,,FALSE,FALSE,2026-04-30
ALPEXSOLAR,,,,FALSE,FALSE,2026-04-30
ALPHA,,Financial Services,,FALSE,FALSE,2026-04-30
ALPHA.BO,Kotak Mahindra Mutual Fund - P,,,FALSE,FALSE,2026-04-30
ALPHAETF,,,,FALSE,FALSE,2026-04-30
ALPINEHOU,ALPINE HOUSING DEVELOPMENT COR,,,FALSE,FALSE,2026-04-30
ALPL30IETF,,,,FALSE,FALSE,2026-04-30
ALSL,ALACRITY SECURITIES LTD,,,FALSE,FALSE,2026-04-30
ALSTONE,Alstone Textiles (India) Ltd,,,FALSE,FALSE,2026-04-30
ALUFLUOR,ALUFLUORIDE LTD.,,,FALSE,FALSE,2026-04-30
ALUWIND,,,,FALSE,FALSE,2026-04-30
AMAL,AMAL LTD.,,,FALSE,FALSE,2026-04-30
AMARAJABAT,,,,FALSE,FALSE,2026-04-30
AMARJOTHI,AMARJOTHI SPINNING MILLS LTD.,,,FALSE,FALSE,2026-04-30
AMARSEC,AMARNATH SECURITIES LTD,,,FALSE,FALSE,2026-04-30
AMBALALSA,Ambalal Sarabhai Enterprises Limited,Healthcare,,FALSE,TRUE,2026-04-30
AMBANIORGO,,,,FALSE,FALSE,2026-04-30
AMBARPIL,Ambar Protein Industries Limit,,,FALSE,FALSE,2026-04-30
AMBEY,,,,FALSE,FALSE,2026-04-30
AMBIT,AMBITIOUS PLASTOMAC COMPANY LT,,,FALSE,FALSE,2026-04-30
AMCL,,,,FALSE,FALSE,2026-04-30
AMCOIND,AMCO INDIA LTD.,,,FALSE,FALSE,2026-04-30
